Cm0_caa_gly,Cm2_caa_gly,Cm4_caa_gly,Cm8_caa_gly,Cm12_caa_gly,Cm0_caa_glu,Cm2_caa_glu,Cm4_caa_glu,Cm8_caa_glu,Cm12_caa_glu,Cm0_gly,Cm2_gly,Cm4_gly,Cm8_gly,Cm12_gly,Cm0_glu,Cm2_glu,Cm4_glu,Cm8_glu,Cm12_glu,,
0.556284,0.748244,1.401176,0.708834,1.179712,0.513115,0.707457,0.783252,0.454642,0.689475,0.501548,0.533606,0.585583,0.593984,1.173772,0.440992,0.351042,0.471577,0.897363,1.179712,,
0.588419,0.60107,0.721513,0.707832,1.668268,0.7509,0.605247,0.792216,0.630145,1.330596,0.348209,0.794252,0.587316,0.711684,1.126638,0.566737,0.515472,0.98092,0.584556,1.668268,,
0.570031,0.495535,0.770925,0.904876,0.987103,0.551812,0.837913,0.860644,0.854643,0.93127,0.448315,0.457151,0.75433,1.163664,1.099007,0.543949,0.623782,0.547721,0.612527,0.987103,,
0.497235,0.697562,0.569272,0.886761,1.253313,0.734586,0.695937,0.761204,0.92896,0.896519,0.338934,0.866247,0.716602,0.886853,3.616739,0.579306,0.555909,0.776168,0.695773,1.253313,,
0.354008,0.645433,0.501375,0.773853,1.219098,0.734332,0.565707,0.737246,0.727287,0.81978,0.313909,0.44728,0.648698,0.939798,1.006153,0.537996,0.442731,0.732306,0.625997,1.219098,,
0.526479,0.561364,0.618051,0.504045,0.847033,0.781361,0.685103,0.808951,0.84871,0.912609,0.384752,0.526843,0.740659,0.807973,1.160469,0.420423,0.308222,1.420886,0.76108,0.847033,,
0.463495,0.343872,0.604114,0.599353,0.853685,0.701407,0.74413,0.673312,0.598573,0.953687,0.312763,0.350429,0.567789,1.045106,0.872829,0.347829,0.53176,0.606714,1.694393,0.853685,,
0.526071,0.620558,0.770261,0.64294,1.523533,0.736988,0.50603,0.81161,0.851675,0.680952,0.297218,0.378573,0.694599,0.876979,1.397955,0.347829,0.422957,0.555464,0.979578,1.523533,,
0.636052,0.435488,0.692141,0.749719,1.324974,0.83722,0.568116,0.668957,0.82437,1.021578,0.296395,0.620599,0.71873,1.143122,0.877635,0.108612,0.067716,0.765494,0.891322,1.324974,,
0.773319,0.334601,0.539529,0.669102,1.115198,0.829635,0.425965,0.650485,0.829,1.011967,0.30606,0.418616,0.755088,0.90375,0.941744,0.312799,0.497301,1.129321,0.542469,1.115198,,
0.451078,0.494939,0.733101,0.631272,0.769703,1.144354,0.714485,0.964068,0.734506,0.909763,0.318846,0.39225,0.867385,1.40506,1.175405,0.475393,0.815204,0.856757,0.778318,0.769703,,
0.493532,2.010881,0.750383,0.798285,1.16696,0.393753,0.769973,0.60043,0.718348,0.918492,0.272468,0.638161,0.637486,1.25475,1.105408,0.356723,0.419451,0.443634,0.573968,1.16696,,
0.493484,0.859784,0.715399,0.771238,0.64018,0.754264,0.674597,0.629896,0.609775,0.903639,0.346693,0.398482,0.726975,0.610177,0.653183,0.433073,0.361909,0.546406,0.839339,0.64018,,
0.56313,0.84167,0.662713,0.745362,3.230639,0.894054,0.630245,0.657425,0.833225,1.007065,0.250552,0.435872,0.593482,0.783447,1.201618,0.399984,0.57787,0.644425,0.561552,3.230639,,
0.577364,0.736951,0.630645,0.163252,0.930779,0.717858,0.753138,0.932259,0.881855,0.898321,0.337694,0.420911,1.205404,0.856251,0.739121,0.58334,0.427381,0.599732,1.449626,0.930779,,
0.490987,0.548243,1.198924,0.802841,1.154904,0.757661,0.501528,0.516667,0.495851,1.034804,0.2107,0.533344,1.077655,1.18136,0.782576,0.423917,0.884517,0.591393,0.85933,1.154904,,
0.477676,0.399981,0.655595,0.719087,1.163106,0.59303,0.480695,0.729442,0.803604,0.993257,0.294184,0.552843,0.612264,1.185982,1.016905,0.229929,0.520527,0.751444,0.478214,1.163106,,
0.863307,0.482207,0.643236,0.903413,0.613151,0.917543,0.981883,0.744508,0.738256,0.878381,0.272969,0.765476,0.820103,1.001232,0.711793,0.466944,0.551603,0.6897,1.030019,0.613151,,
0.713728,0.499016,0.684652,0.874037,1.243893,0.783719,0.555712,0.816226,0.808682,0.668634,0.246309,0.539454,0.663185,1.216742,6.760735,0.53277,0.451499,0.663473,1.165152,1.243893,,
0.843789,0.654295,0.701635,0.639489,0.745964,0.751014,0.999744,0.813212,0.878283,1.307202,0.338004,0.4581,0.770406,1.227885,1.088832,0.425458,0.275053,0.634464,0.777692,0.745964,,
0.238483,0.764551,0.717946,0.59597,2.123642,0.637578,0.677353,0.885764,0.846695,0.975526,0.378322,0.677961,0.421318,0.913435,1.727046,0.380767,-0.03819,0.657295,0.858487,2.123642,,
0.384418,0.553202,0.643445,0.621115,0.687758,0.703846,0.591075,0.671042,0.761691,0.846342,0.322506,0.81017,0.706403,0.877798,1.114015,0.244512,0.471892,0.457764,0.598695,0.687758,,
0.53988,0.857174,0.6713,1.025999,0.9169,0.638597,0.849945,0.624885,0.637642,0.855138,0.359551,0.61801,0.409006,0.84716,1.285722,0.432002,0.282891,0.698129,0.615187,0.9169,,
0.437464,0.615932,0.608368,0.715203,0.626743,0.665277,0.747224,0.742353,0.80337,0.722806,0.40745,0.586031,0.537768,0.824408,1.131573,0.523824,0.30726,0.763726,0.499225,0.626743,,
0.467695,0.491029,0.854096,0.60928,1.445021,0.64314,0.80045,0.510728,0.769248,1.14427,0.287882,0.654689,0.535489,0.781354,1.302548,0.36684,0.360612,0.678044,1.049254,1.445021,,
0.699909,0.590867,0.584228,0.673219,1.41518,0.757156,0.475272,0.732653,0.767692,1.051318,0.343428,0.793418,0.544551,1.096955,1.324368,0.498058,0.425064,0.581669,0.598628,1.41518,,
0.415076,0.628628,0.604908,0.974195,0.80147,0.679705,0.600646,0.580086,0.735496,0.944718,0.1199,0.675772,0.39207,0.224478,1.135318,0.527613,0.418904,0.691558,0.993105,0.80147,,
0.625856,0.694417,0.761456,0.718383,1.35396,0.651209,0.956132,0.551346,0.783393,0.575695,0.436228,0.545738,0.650742,0.920868,0.872621,0.311255,0.52023,0.620941,0.516827,1.35396,,
0.651227,0.479216,0.866573,0.73806,0.853079,0.76937,0.664552,0.671152,0.632898,0.903476,0.407048,0.671845,0.529596,1.688956,1.412175,0.402705,0.415617,0.73598,0.512874,0.853079,,
0.724594,0.952497,0.636237,0.769072,0.64181,0.76937,0.723473,0.582402,0.761338,0.882701,0.046027,0.750036,0.541317,0.849795,0.384046,0.402261,0.590684,0.738817,0.520264,0.64181,,
0.505614,0.53929,3.282241,0.637904,0.972488,0.758292,0.691291,0.74707,0.788871,0.916593,0.263848,0.572358,-1.79451,0.999284,0.86016,0.517574,0.346011,0.546233,0.899446,1.020896,,
0.464532,0.520499,0.669688,0.799353,1.367073,0.651505,0.684321,0.392878,0.560698,1.028896,0.440719,0.718285,0.293473,0.667225,5.959647,0.164491,0.278597,0.818697,0.52745,0.972488,,
