Cm0_caa_gly,Cm2_caa_gly,Cm4_caa_gly,Cm8_caa_gly,Cm12_caa_gly,Cm0_caa_glu,Cm2_caa_glu,Cm4_caa_glu,Cm8_caa_glu,Cm12_caa_glu,Cm0_gly,Cm2_gly,Cm4_gly,Cm8_gly,Cm12_gly,Cm0_glu,Cm2_glu,Cm4_glu,Cm8_glu,Cm12_glu
1014.946,1230.944,564.3748,1664.7,303.8599,964.022,926.7932,902.2636,763.108,551.6306,1313.513,687.4966,732.3122,212.4724,471.8377,1043.897,546.982,175.1731,412.1222,303.8599
1104.888,866.2684,920.8915,1232.259,476.2034,819.4529,1128.544,744.8722,704.95,706.1276,839.4573,1721.603,828.3421,134.2586,1145.957,439.7335,1217.286,260.5077,958.8597,476.2034
938.4338,941.0803,438.6889,1444.036,759.2953,958.5771,834.7037,521.6801,1110.534,921.4687,1179.84,893.7407,661.6471,119.5799,636.1551,1046.431,180.8702,379.9075,250.6532,759.2953
1348.147,74.21224,389.925,1172.022,472.8202,1003.418,850.1388,1066.638,594.4527,808.3625,914.9517,350.4313,520.934,105.4676,778.4215,763.0769,1027.937,891.5248,817.2954,472.8202
963.7242,428.2107,1523.761,323.4154,1014.036,1054.045,1012.883,1029.565,344.1817,809.4626,921.3796,1490.579,728.2733,345.0371,562.8589,833.4077,627.5556,1460.065,302.6062,1014.036
1248.027,423.276,480.6683,958.0432,54.67908,991.2296,946.9068,924.312,771.8091,566.8166,1234.358,392.1514,1521.97,213.6936,979.9978,933.5745,625.5375,814.1348,560.8266,54.67908
1333.101,1089.93,962.8815,392.2602,818.9492,929.8999,1087.142,1242.674,689.1151,707.6492,1094.795,421.6556,210.9066,633.9733,1661.592,1064.119,430.5347,464.7928,208.5006,818.9492
1362.899,1186.85,174.6653,732.1686,124.6537,1284.326,816.9507,906.0639,811.2018,662.1279,1109.852,365.048,159.494,139.0134,1972.063,1041.929,255.4647,922.0255,408.2371,124.6537
674.602,1170.438,760.5685,1056.931,191.3193,697.418,922.6456,844.962,970.9416,478.2124,1369.423,413.2675,596.6753,142.6552,607.8511,1142.831,921.2584,404.0548,991.5475,191.3193
1139.507,1310.036,1032.422,681.0789,554.8577,1095.043,827.3229,1036.676,827.0709,830.9661,851.2735,279.0592,324.3882,293.6502,571.7804,1076.247,354.8659,644.8307,214.2475,554.8577
1228.984,1386.823,232.2688,440.7856,553.8517,589.5226,825.6588,1149.015,631.0017,1460.479,686.9777,828.8218,259.8889,132.3575,29.91506,1050.117,2323.717,521.9965,179.8791,553.8517
907.031,858.5796,248.9938,892.9414,313.2019,918.974,838.7259,1208.1,779.299,691.6409,1346.703,668.7487,133.7532,121.3096,400.7395,1044.417,1891.445,793.6779,343.3063,313.2019
1173.72,675.6696,719.3455,1114.24,112.5166,1108.293,923.9336,1158.851,1194.442,815.9049,1371.143,405.696,861.0868,457.5348,124.0995,966.6926,616.45,651.7022,222.7145,112.5166
1164.77,840.4817,1110.999,1001.118,772.0382,1025.325,898.0389,722.1129,898.6994,520.8216,1271.96,402.8489,260.332,334.0992,165.505,864.0664,905.3791,859.8889,1203.973,772.0382
1143.645,488.2164,563.0259,355.0451,154.5882,858.8445,698.8721,725.0565,890.5345,729.4226,1462.623,945.4555,328.5395,285.7802,289.8092,931.3523,1510.82,723.1561,615.9845,154.5882
981.4967,1093.93,973.2226,1611.094,197.9779,985.2972,811.6541,869.2439,1219.795,760.9297,1498.167,569.3727,418.3064,595.752,400.906,1058.064,709.3471,665.9284,456.1716,197.9779
1041.57,746.6685,463.9014,2090.297,192.4983,1032.477,783.9964,1111.938,1151.855,774.0576,1194.742,680.9198,413.6487,605.2151,157.4695,1308.393,2020.517,666.2175,351.3583,192.4983
1010.953,1084.595,1187.852,1112.485,204.2663,725.2951,1025.176,1110.317,1177.531,514.9225,1057.436,356.9168,1213.805,215.6134,93.42365,1151.265,1513.821,517.2502,1111.785,204.2663
1275.855,1334.868,1312.138,324.6926,232.5368,964.7922,831.9074,1009.623,713.9636,693.6009,1311.746,340.0426,483.3149,79.07394,130.1091,1003.817,1211.037,851.6223,302.757,232.5368
1028.345,683.6644,392.9078,1152.747,187.0715,1161.375,837.8297,1039.774,1026.791,705.344,840.3084,876.9893,670.7374,332.6295,998.7761,881.2498,802.8745,568.1456,1211.372,187.0715
1049.153,541.8629,343.4777,982.2214,227.4038,1172.756,951.258,1100.495,964.4556,529.6173,848.8701,425.8484,479.9973,143.5984,116.9554,1012.154,499.4164,631.2291,2038.081,227.4038
780.2642,324.5525,434.0507,1386.493,522.1659,1172.756,872.7529,1192.789,931.3828,591.9548,1528.029,376.5467,235.1679,414.8921,24.49997,1077.974,534.3589,861.6266,1640.547,522.1659
1321.802,504.2583,48.15349,1224.948,552.6112,1073.062,795.9705,985.7421,621.8292,767.9994,1156.713,372.482,-14.7297,349.8334,234.4646,1126.36,957.8511,610.5791,284.1965,239.7548
1094.611,526.107,835.1384,1061.285,123.5065,906.0759,894.7351,1054.967,719.8648,754.3195,1285.519,851.9757,510.4907,1313.21,29.19355,947.0884,1764.141,570.0965,961.6156,552.6112
919.6423,1179.104,197.6241,689.0031,211.591,882.8101,1001.387,572.0114,1016.7,643.62,453.8024,873.8009,133.9777,404.4948,348.4063,1244.293,1121.756,624.6718,704.2386,123.5065
